Number,Messier number,NGC/IC number,Common name,Location,Reference Image,My Image,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions (arc minutes),Right ascension,Declination,Best Date,Best Month,Best Viewing
96,M96,3368,–,Deep Space,,,Spiral galaxy,"28,000–34,000",Leo,9.2,6.0,10h 46m 45.7s,+11° 49′ 12″,07-15,7,Summer
97,M97,3587,Owl Nebula,Milky Way,,,Planetary nebula,2.03,Ursa Major,9.9,3.4,11h 14m 47.734s,+55° 01′ 08.50″,08-15,8,Summer
98,M98,4192,–,Deep Space,,,Spiral galaxy,"44,400",Coma Berenices,10.1,9.5,12h 13m 48.292s,+14° 54′ 01.69″,08-15,8,Summer
99,M99,4254,St. Catherine's Wheel,Deep Space,,,Spiral galaxy,"44,700–55,700",Coma Berenices,9.9,5.4,12h 18m 49.6s,+14° 24′ 59″,08-15,8,Summer
100,M100,4321,Mirror Galaxy,Deep Space,,,Spiral galaxy,"55,000",Coma Berenices,9.3,7.0,12h 22m 54.9s,+15° 49′ 21″,08-15,8,Summer
101,M101,5457,Pinwheel Galaxy,Deep Space,,,Spiral galaxy,"19,100–22,400",Ursa Major,7.9,22.0,14h 03m 12.6s,+54° 20′ 57″,09-15,9,Autumn
102,M102,5866,Spindle Galaxy,Deep Space,,,Lenticular galaxy,"50,000",Draco,9.9,5.2,15h 06m 29.5s,+55° 45′ 48″,10-15,10,Autumn
103,M103,581,–,Milky Way,,,Open cluster,10,Cassiopeia,7.4,6.0,01h 33.2m,+60° 42′,03-15,3,Spring
104,M104,4594,Sombrero Galaxy,Deep Space,,,Spiral galaxy,"28,700–30,900",Virgo,8.0,9.0,12h 39m 59.4s,−11° 37′ 23″,08-15,8,Summer
105,M105,3379,–,Deep Space,,,Elliptical galaxy,"30,400–33,600",Leo,9.3,2.0,10h 47m 49.6s,+12° 34′ 54″,07-15,7,Summer
106,M106,4258,–,Deep Space,,,Spiral galaxy,"22,200–25,200",Canes Venatici,8.4,19.0,12h 18m 57.5s,+47° 18′ 14″,08-15,8,Summer
107,M107,6171,Crucifix Cluster,Milky Way,,,Globular cluster,20.9,Ophiuchus,7.9,10.0,16h 32m 31.86s,−13° 03′ 13.6″,10-15,10,Autumn
108,M108,3556,Surfboard Galaxy,Deep Space,,,Barred Spiral galaxy,"46,000",Ursa Major,10.0,8.0,11h 11m 31.0s,+55° 40′ 27″,08-15,8,Summer
109,M109,3992,Vacuum Cleaner Galaxy,Deep Space,,,Barred Spiral galaxy,"59,500–107,500",Ursa Major,9.8,7.0,11h 57m 36.0s,+53° 22′ 28″,08-15,8,Summer
110,M110,205,Andromeda Satellite #2,Deep Space,,,Dwarf elliptical galaxy,"2,600–2,780",Andromeda,8.5,17.0,00h 40m 22.1s,+41° 41′ 07″,02-15,2,Winter
