id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
NGC7350,NGC,,,NGC 7350,,NGC 7350,**,,Pegasus,,340.20233,12.00653,Autumn
NGC7351,NGC,,,NGC 7351,,NGC 7351,G,13.55,Aquarius,1.60,340.36225,-4.44472,Autumn
NGC7352,NGC,,,NGC 7352,,NGC 7352,Other,,Cepheus,,339.93208,57.39436,Autumn
NGC7353,NGC,,,NGC 7353,,NGC 7353,G,16.67,Pegasus,0.65,340.55212,11.87731,Autumn
NGC7354,NGC,,,NGC 7354,,NGC 7354,PN,12.2,Cepheus,0.38,340.08171,61.28483,Autumn
NGC7355,NGC,,,NGC 7355,,NGC 7355,G,15.09,Grus,1.04,340.87733,-36.86517,Unknown
NGC7356,NGC,,,NGC 7356,,NGC 7356,G,15.31,Pegasus,1.26,340.50979,30.70881,Autumn
NGC7357,NGC,,,NGC 7357,,NGC 7357,G,15.11,Pegasus,0.58,340.59975,30.17136,Autumn
NGC7358,NGC,,,NGC 7358,,NGC 7358,G,12.75,Tucana,2.13,341.40183,-65.12183,Unknown
NGC7359,NGC,,,NGC 7359,,NGC 7359,G,12.45,Aquarius,2.18,341.20000,-23.68808,Summer
NGC7360,NGC,,,NGC 7360,,NGC 7360,G,14.48,Pegasus,0.81,340.89146,4.15117,Autumn
NGC7361,NGC,,,NGC 7361,,"NGC 7361,IC 5237",G,12.35,Piscis Austrinus,3.14,340.57463,-30.05767,Unknown
NGC7362,NGC,,,NGC 7362,,NGC 7362,G,12.74,Pegasus,1.30,340.95533,8.70544,Autumn
NGC7363,NGC,,,NGC 7363,,NGC 7363,G,14.53,Pegasus,0.86,340.83296,34.00150,Autumn
NGC7364,NGC,,,NGC 7364,,NGC 7364,G,13.36,Aquarius,1.65,341.10154,-0.16208,Autumn
NGC7365,NGC,,,NGC 7365,,NGC 7365,G,12.81,Aquarius,1.79,341.29183,-19.95203,Summer
NGC7366,NGC,,,NGC 7366,,NGC 7366,G,16.22,Pegasus,0.34,341.11096,10.78136,Autumn
NGC7367,NGC,,,NGC 7367,,NGC 7367,G,14.82,Pegasus,1.43,341.14354,3.64639,Autumn
NGC7368,NGC,,,NGC 7368,,"NGC 7368,IC 1459",G,13.17,Grus,2.85,341.38200,-39.34183,Unknown
NGC7369,NGC,,,NGC 7369,,NGC 7369,G,14.73,Pegasus,0.86,341.05125,34.35122,Autumn
NGC7370,NGC,,,NGC 7370,,NGC 7370,G,16.38,Pegasus,0.65,341.40512,11.05781,Autumn
NGC7371,NGC,,,NGC 7371,,NGC 7371,G,12.02,Aquarius,2.09,341.51558,-11.00114,Autumn
NGC7372,NGC,,,NGC 7372,,NGC 7372,G,14.51,Pegasus,1.01,341.44167,11.13083,Autumn
NGC7373,NGC,,,NGC 7373,,NGC 7373,G,14.71,Pegasus,1.04,341.58087,3.21006,Autumn
NGC7374,NGC,,,NGC 7374,,NGC 7374,G,14.83,Pegasus,0.87,341.50396,10.85361,Autumn
NGC7374B,NGC,,,NGC 7374B,,"NGC 7374B,IC 1452",G,15.55,Pegasus,0.78,341.49662,10.86750,Autumn
NGC7375,NGC,,,NGC 7375,,NGC 7375,G,14.67,Pegasus,0.92,341.63350,21.08364,Autumn
NGC7376,NGC,,,NGC 7376,,NGC 7376,G,15.56,Pegasus,0.69,341.82242,3.64558,Autumn
NGC7377,NGC,,,NGC 7377,,NGC 7377,G,11.19,Aquarius,3.92,341.94792,-22.31211,Summer
NGC7378,NGC,,,NGC 7378,,NGC 7378,G,13,Aquarius,1.52,341.94875,-11.81664,Autumn
NGC7379,NGC,,,NGC 7379,,NGC 7379,G,14.33,Lacerta,1.25,341.88729,40.23881,Autumn
NGC7380,NGC,,,NGC 7380,,NGC 7380,Cl+N,7.2,Cepheus,25.00,341.83754,58.13242,Autumn
NGC7381,NGC,,,NGC 7381,,NGC 7381,G,14.93,Aquarius,0.68,342.53396,-19.72511,Autumn
NGC7382,NGC,,,NGC 7382,,NGC 7382,G,14.67,Grus,0.74,342.59967,-36.85731,Unknown
NGC7383,NGC,,,NGC 7383,,NGC 7383,G,14.01,Pegasus,0.86,342.39842,11.55639,Autumn
NGC7384,NGC,,,NGC 7384,,NGC 7384,*,,Pegasus,,342.42729,11.48744,Autumn
NGC7385,NGC,,,NGC 7385,,NGC 7385,G,12.13,Pegasus,1.93,342.47746,11.60856,Autumn
NGC7386,NGC,,,NGC 7386,,NGC 7386,G,12.52,Pegasus,2.04,342.50896,11.69836,Autumn
NGC7387,NGC,,,NGC 7387,,NGC 7387,G,13.98,Pegasus,1.00,342.57350,11.63672,Autumn
NGC7388,NGC,,,NGC 7388,,NGC 7388,*,,Pegasus,,342.58758,11.71094,Autumn
NGC7389,NGC,,,NGC 7389,,NGC 7389,G,14.86,Pegasus,1.45,342.56687,11.56619,Autumn
NGC7390,NGC,,,NGC 7390,,NGC 7390,G,15.45,Pegasus,0.82,342.58175,11.53103,Autumn
NGC7391,NGC,,,NGC 7391,,NGC 7391,G,12.05,Aquarius,1.49,342.65054,-1.54483,Autumn
NGC7392,NGC,,,NGC 7392,,NGC 7392,G,11.84,Aquarius,2.24,342.95308,-20.60808,Autumn
NGC7393,NGC,,,NGC 7393,,NGC 7393,G,13.34,Aquarius,2.04,342.90871,-5.55731,Autumn
NGC7394,NGC,,,NGC 7394,,NGC 7394,OCl,,Lacerta,,342.53200,52.18011,Autumn
NGC7395,NGC,,,NGC 7395,,NGC 7395,G,15.16,Lacerta,1.15,342.76221,37.08781,Autumn
NGC7396,NGC,,,NGC 7396,,NGC 7396,G,13.49,Pisces,1.77,343.09433,1.09239,Autumn
NGC7397,NGC,,,NGC 7397,,NGC 7397,G,15.04,Pisces,0.71,343.19458,1.13278,Autumn
NGC7398,NGC,,,NGC 7398,,NGC 7398,G,14.64,Pisces,1.05,343.20529,1.20111,Autumn
NGC7399,NGC,,,NGC 7399,,NGC 7399,G,14.5,Aquarius,1.13,343.16358,-9.26778,Autumn
NGC7400,NGC,,,NGC 7400,,NGC 7400,G,13.64,Grus,2.42,343.58675,-45.34703,Unknown
NGC7401,NGC,,,NGC 7401,,NGC 7401,G,15.26,Pisces,0.75,343.24400,1.14267,Autumn
NGC7402,NGC,,,NGC 7402,,NGC 7402,G,16.05,Pisces,0.42,343.26867,1.14444,Autumn
NGC7403,NGC,,,NGC 7403,,NGC 7403,*,,Pisces,,343.27667,1.48272,Autumn
NGC7404,NGC,,,NGC 7404,,"NGC 7404,IC 5260",G,12.74,Grus,1.63,343.57754,-39.31494,Unknown
NGC7405,NGC,,,NGC 7405,,NGC 7405,G,16.98,Pegasus,0.33,343.23821,12.59361,Autumn
