id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
IC0001,IC,,,IC 1,,IC 1,**,,Pegasus,,2.11271,27.71767,Autumn
IC0002,IC,,,IC 2,,IC 2,G,15.46,Cetus,0.98,2.75367,-12.82286,Autumn
IC0003,IC,,,IC 3,,IC 3,G,14.78,Pisces,0.93,3.02538,-0.41522,Autumn
IC0004,IC,,,IC 4,,IC 4,G,14.14,Pegasus,1.17,3.36225,17.48644,Autumn
IC0005,IC,,,IC 5,,IC 5,G,14.57,Cetus,0.99,4.39554,-9.54336,Autumn
IC0006,IC,,,IC 6,,IC 6,G,14.57,Pisces,1.23,4.72933,-3.27608,Autumn
IC0007,IC,,,IC 7,,IC 7,G,14.63,Pisces,0.90,4.72150,10.59469,Autumn
IC0008,IC,,,IC 8,,IC 8,G,15.16,Pisces,0.82,4.76133,-3.22208,Autumn
IC0009,IC,,,IC 9,,IC 9,G,15.41,Cetus,0.59,4.93325,-14.12189,Autumn
IC0010,IC,,,IC 10,,IC 10,G,10.35,Cassiopeia,6.76,5.07225,59.30378,Autumn
IC0012,IC,,,IC 12,,IC 12,G,15.08,Pisces,0.96,5.06271,-2.65311,Autumn
IC0013,IC,,,IC 13,,IC 13,G,14.93,Pisces,1.29,5.08371,7.70050,Autumn
IC0014,IC,,,IC 14,,IC 14,**,,Pisces,,5.63037,10.49025,Autumn
IC0015,IC,,,IC 15,,IC 15,G,15.9,Cetus,0.44,6.98996,-0.06128,Autumn
IC0016,IC,,,IC 16,,IC 16,G,15.15,Cetus,0.58,7.03188,-13.09392,Autumn
IC0017,IC,,,IC 17,,IC 17,G,14.77,Cetus,0.67,7.12408,2.64861,Autumn
IC0018,IC,,,IC 18,,IC 18,G,15.03,Cetus,1.08,7.14567,-11.58669,Autumn
IC0019,IC,,,IC 19,,IC 19,G,15.15,Cetus,0.79,7.16450,-11.64078,Autumn
IC0020,IC,,,IC 20,,IC 20,G,14.88,Cetus,0.91,7.16533,-13.01031,Autumn
IC0021,IC,,,IC 21,,IC 21,G,15.54,Cetus,0.49,7.29346,-0.16378,Autumn
IC0022,IC,,,IC 22,,IC 22,G,14.73,Cetus,0.81,7.38821,-9.08075,Autumn
IC0023,IC,,,IC 23,,IC 23,G,15.05,Cetus,0.85,7.71167,-12.72025,Autumn
IC0024,IC,,,IC 24,,IC 24,**,,Andromeda,,7.81929,30.83931,Autumn
IC0025,IC,,,IC 25,,IC 25,G,15.29,Cetus,0.86,7.80038,-0.40736,Autumn
IC0027,IC,,,IC 27,,IC 27,G,15.82,Cetus,0.58,8.27600,-13.37150,Autumn
IC0028,IC,,,IC 28,,IC 28,G,15.56,Cetus,0.30,8.28633,-13.45628,Autumn
IC0029,IC,,,IC 29,,IC 29,G,15.79,Cetus,0.66,8.54500,-2.17764,Autumn
IC0030,IC,,,IC 30,,IC 30,G,15.17,Cetus,0.69,8.56133,-2.08458,Autumn
IC0031,IC,,,IC 31,,IC 31,G,15.62,Pisces,1.16,8.60262,12.26817,Autumn
IC0032,IC,,,IC 32,,IC 32,G,16.15,Cetus,0.62,8.75704,-2.14169,Autumn
IC0033,IC,,,IC 33,,IC 33,G,15.29,Cetus,0.78,8.77150,-2.13769,Autumn
IC0034,IC,,,IC 34,,IC 34,G,13.77,Pisces,2.81,8.90175,9.12425,Autumn
IC0035,IC,,,IC 35,,IC 35,G,14.96,Pisces,0.90,9.41617,10.35797,Autumn
IC0036,IC,,,IC 36,,IC 36,G,15.54,Cetus,0.31,9.45688,-15.44128,Autumn
IC0037,IC,,,IC 37,,IC 37,G,16.23,Cetus,0.67,9.64242,-15.35869,Autumn
IC0038,IC,,,IC 38,,IC 38,G,15.02,Cetus,0.77,9.66150,-15.41983,Autumn
IC0040,IC,,,IC 40,,IC 40,G,15.04,Cetus,1.05,9.83917,2.45622,Autumn
IC0041,IC,,,IC 41,,IC 41,G,15.2,Cetus,0.71,9.91821,-14.17433,Autumn
IC0042,IC,,,IC 42,,IC 42,G,15.38,Cetus,0.76,10.27433,-15.42808,Autumn
IC0043,IC,,,IC 43,,IC 43,G,13.25,Andromeda,1.26,10.59192,29.64164,Autumn
IC0045,IC,,,IC 45,,IC 45,Other,,Andromeda,,10.65142,29.65525,Autumn
IC0046,IC,,,IC 46,,IC 46,G,14.28,Andromeda,0.80,10.74154,27.25347,Autumn
IC0047,IC,,,IC 47,,IC 47,G,16.09,Cetus,0.41,10.72921,-13.74072,Autumn
IC0048,IC,,,IC 48,,"IC 48,IC 1577",G,13.16,Cetus,1.12,10.89363,-8.18650,Autumn
IC0049,IC,,,IC 49,,IC 49,G,13.78,Cetus,1.28,10.98387,1.85028,Autumn
IC0050,IC,,,IC 50,,IC 50,G,14.74,Cetus,1.02,11.52379,-9.50300,Autumn
IC0051,IC,,,IC 51,,IC 51,G,13.75,Cetus,1.70,11.60092,-13.44236,Autumn
IC0052,IC,,,IC 52,,IC 52,G,15.31,Pisces,0.95,12.09908,4.09186,Autumn
IC0053,IC,,,IC 53,,IC 53,G,15.33,Pisces,0.87,12.66988,10.60028,Autumn
IC0054,IC,,,IC 54,,IC 54,**,,Cetus,,12.69521,-2.28778,Autumn
IC0055,IC,,,IC 55,,IC 55,G,15.01,Pisces,0.55,12.92662,7.71853,Autumn
IC0056,IC,,,IC 56,,IC 56,G,15.14,Cetus,0.82,12.87475,-12.84431,Autumn
IC0057,IC,,,IC 57,,IC 57,G,15.48,Pisces,1.03,13.70208,11.84119,Autumn
IC0058,IC,,,IC 58,,IC 58,G,15.51,Cetus,0.84,13.76017,-13.67808,Autumn
IC0059,IC,,,IC 59,,IC 59,RfN,,Cassiopeia,10.00,14.36921,61.14367,Autumn
IC0060,IC,,,IC 60,,IC 60,G,15.75,Cetus,1.04,14.01763,-13.35792,Autumn
IC0061,IC,,,IC 61,,IC 61,G,15.23,Pisces,1.34,14.28000,7.50708,Autumn
IC0062,IC,,,IC 62,,IC 62,G,14.97,Pisces,0.76,14.68308,11.80800,Autumn
IC0063,IC,,,IC 63,,IC 63,HII,13.33,Cassiopeia,10.00,14.87017,60.91169,Autumn
IC0064,IC,,,IC 64,,IC 64,G,13.96,Pisces,1.03,14.85175,27.05906,Autumn
IC0065,IC,,,IC 65,,IC 65,G,13.6,Andromeda,2.56,15.23092,47.68197,Autumn
IC0066,IC,,,IC 66,,IC 66,G,14.1,Pisces,1.23,15.13542,30.79722,Autumn
IC0069,IC,,,IC 69,,IC 69,G,14.65,Pisces,0.76,15.34858,31.04083,Autumn
IC0070,IC,,,IC 70,,IC 70,G,16.77,Cetus,0.42,15.26646,0.05075,Autumn
IC0071,IC,,,IC 71,,IC 71,*,,Cetus,,15.33025,-6.76717,Autumn
IC0072,IC,,,IC 72,,IC 72,*,,Cetus,,15.39463,-6.77794,Autumn
IC0073,IC,,,IC 73,,IC 73,G,15.38,Pisces,0.62,16.22062,4.76714,Autumn
IC0074,IC,,,IC 74,,IC 74,G,15.59,Pisces,0.57,16.48312,4.09025,Autumn
IC0075,IC,,,IC 75,,IC 75,G,14.98,Pisces,0.66,16.79838,10.83689,Autumn
IC0076,IC,,,IC 76,,IC 76,G,15.44,Cetus,0.81,17.04879,-4.55450,Autumn
IC0077,IC,,,IC 77,,IC 77,G,15.04,Cetus,0.52,17.18229,-15.42092,Autumn
IC0078,IC,,,IC 78,,IC 78,G,15.24,Cetus,1.75,17.19875,-15.84508,Autumn
IC0079,IC,,,IC 79,,IC 79,G,14.93,Cetus,1.24,17.20713,-15.94858,Autumn
IC0080,IC,,,IC 80,,IC 80,GPair,,Cetus,1.20,17.21208,-15.40750,Autumn
IC0080 NED01,IC,,,IC0080 NED01,,IC0080 NED01,G,14.83,Cetus,1.50,17.21125,-15.40894,Autumn
IC0080 NED02,IC,,,IC0080 NED02,,IC0080 NED02,G,12.9,Cetus,1.50,17.21304,-15.40631,Autumn
IC0081,IC,,,IC 81,,IC 81,G,14.53,Cetus,1.17,17.34275,-1.69586,Autumn
IC0082,IC,,,IC 82,,IC 82,G,14.85,Cetus,0.91,17.27413,-16.00031,Autumn
IC0083,IC,,,IC 83,,IC 83,G,15.16,Cetus,0.68,17.62408,1.68936,Autumn
IC0084,IC,,,IC 84,,IC 84,G,15.21,Cetus,0.67,17.85667,1.64019,Autumn
IC0085,IC,,,IC 85,,IC 85,*,,Cetus,,17.95646,-0.45247,Autumn
IC0086,IC,,,IC 86,,IC 86,G,15.31,Cetus,0.72,18.36883,-16.24167,Autumn
IC0087,IC,,,IC 87,,IC 87,G,15.37,Cetus,0.69,18.56579,0.76533,Autumn
IC0088,IC,,,IC 88,,IC 88,G,18.07,Cetus,0.53,18.63042,0.79175,Autumn
IC0090,IC,,,IC 90,,IC 90,G,14.85,Cetus,1.25,19.12646,-7.97714,Autumn
IC0091,IC,,,IC 91,,IC 91,G,16.48,Cetus,0.71,19.66429,2.55367,Autumn
IC0093,IC,,,IC 93,,"IC 93,IC 1671",G,13.57,Cetus,1.21,19.75975,-17.06039,Autumn
IC0094,IC,,,IC 94,,IC 94,*,,Pisces,,20.02287,32.71733,Autumn
IC0095,IC,,,IC 95,,IC 95,G,16.2,Cetus,0.61,19.82450,-12.57414,Autumn
IC0096,IC,,,IC 96,,IC 96,G,14.65,Pisces,0.78,20.13842,29.61725,Autumn
IC0098,IC,,,IC 98,,IC 98,G,16.3,Cetus,0.68,20.22867,-12.60472,Autumn
IC0099,IC,,,IC 99,,IC 99,G,15.82,Cetus,0.58,20.61400,-12.95256,Autumn
IC0100,IC,,,IC 100,,IC 100,G,14.48,Cetus,1.04,20.72483,-4.64303,Autumn
IC0101,IC,,,IC 101,,IC 101,G,15.03,Pisces,1.24,21.03562,9.93053,Autumn
IC0102,IC,,,IC 102,,IC 102,G,15.57,Pisces,0.75,21.10971,9.88656,Autumn
IC0103,IC,,,IC 103,,IC 103,G,15.36,Cetus,0.95,21.15183,2.04425,Autumn
IC0104,IC,,,IC 104,,IC 104,**,8.79,Cetus,,21.14000,-1.45672,Autumn
IC0105,IC,,,IC 105,,IC 105,G,15.59,Cetus,0.58,21.19271,2.07528,Autumn
IC0107,IC,,,IC 107,,"IC 107,IC 1700",G,14.25,Pisces,1.62,21.35275,14.86461,Autumn
IC0108,IC,,,IC 108,,IC 108,G,15.48,Cetus,1.30,21.16233,-12.63558,Autumn
IC0109,IC,,,IC 109,,IC 109,G,14.87,Cetus,0.76,21.30454,2.06622,Autumn
IC0110,IC,,,IC 110,,IC 110,Other,,Pisces,,21.44417,33.51469,Autumn
IC0111,IC,,,IC 111,,IC 111,Other,,Pisces,,21.50054,33.49711,Autumn
IC0112,IC,,,IC 112,,IC 112,G,14.17,Pisces,0.72,21.51258,11.44297,Autumn
IC0113,IC,,,IC 113,,IC 113,G,,Pisces,0.35,21.60625,19.19197,Autumn
IC0114,IC,,,IC 114,,IC 114,G,15.62,Pisces,1.40,21.59408,9.90994,Autumn
IC0115,IC,,,IC 115,,IC 115,G,14.03,Pisces,0.76,21.72683,19.21469,Autumn
IC0116,IC,,,IC 116,,IC 116,G,14.62,Cetus,0.87,21.71071,-4.98228,Autumn
IC0118,IC,,,IC 118,,IC 118,G,15.81,Cetus,0.72,21.90017,-4.99747,Autumn
IC0119,IC,,,IC 119,,IC 119,G,15.18,Cetus,1.19,21.97925,-2.04047,Autumn
IC0120,IC,,,IC 120,,IC 120,G,15.12,Cetus,0.92,22.05400,-1.91553,Autumn
IC0121,IC,,,IC 121,,IC 121,G,14.25,Cetus,1.00,22.09075,2.51303,Autumn
IC0122,IC,,,IC 122,,IC 122,G,15.96,Cetus,0.65,22.05500,-14.83889,Autumn
IC0123,IC,,,IC 123,,IC 123,G,15.16,Cetus,0.67,22.21442,2.44644,Autumn
IC0124,IC,,,IC 124,,IC 124,*,14.4,Cetus,,22.28783,-1.93703,Autumn
IC0125,IC,,,IC 125,,IC 125,G,16.18,Cetus,0.61,22.32646,-13.27983,Autumn
IC0126,IC,,,IC 126,,IC 126,G,15.66,Cetus,0.89,22.44942,-1.98375,Autumn
IC0127,IC,,,IC 127,,IC 127,G,9.2,Cetus,1.69,22.44838,-6.98006,Autumn
IC0128,IC,,,IC 128,,IC 128,G,15.35,Cetus,0.82,22.84946,-12.62439,Autumn
IC0129,IC,,,IC 129,,IC 129,G,15.28,Cetus,1.23,22.88025,-12.65439,Autumn
IC0130,IC,,,IC 130,,IC 130,G,15.49,Cetus,0.75,22.86975,-15.59161,Autumn
IC0131,IC,,,IC 131,,IC 131,HII,12.52,Triangulum,0.30,23.31075,30.75325,Autumn
IC0132,IC,,,IC 132,,IC 132,HII,14.82,Triangulum,0.67,23.31633,30.94561,Autumn
IC0133,IC,,,IC 133,,IC 133,HII,18.45,Triangulum,0.45,23.31325,30.88839,Autumn
IC0134,IC,,,IC 134,,IC 134,*,15.98,Triangulum,,23.35417,30.90067,Autumn
IC0135,IC,,,IC 135,,IC 135,HII,,Triangulum,0.40,23.56471,30.62008,Autumn
IC0136,IC,,,IC 136,,IC 136,*Ass,11.04,Triangulum,,23.56683,30.56206,Autumn
IC0137,IC,,,IC 137,,IC 137,*Ass,,Triangulum,,23.41212,30.52250,Autumn
IC0138,IC,,,IC 138,,IC 138,G,14.72,Cetus,1.12,23.25825,-0.68983,Autumn
IC0139,IC,,,IC 139,,IC 139,*Ass,13.1,Triangulum,,23.49683,30.56744,Autumn
IC0140,IC,,,IC 140,,IC 140,*Ass,,Triangulum,,23.49237,30.55014,Autumn
IC0141,IC,,,IC 141,,IC 141,G,14.33,Cetus,1.23,23.21546,-14.81461,Autumn
IC0142,IC,,,IC 142,,IC 142,HII,14.2,Triangulum,0.50,23.48137,30.75781,Autumn
IC0143,IC,,,IC 143,,IC 143,HII,11.4,Triangulum,0.30,23.54554,30.77642,Autumn
IC0144,IC,,,IC 144,,IC 144,G,15.74,Cetus,0.74,24.42021,-13.31467,Autumn
IC0145,IC,,,IC 145,,IC 145,G,15.4,Cetus,0.69,24.66033,0.74150,Autumn
IC0147,IC,,,IC 147,,IC 147,G,15.23,Cetus,0.76,24.99896,-14.86264,Autumn
IC0148,IC,,,IC 148,,IC 148,G,13.84,Pisces,1.82,25.61238,13.97703,Autumn
IC0149,IC,,,IC 149,,IC 149,G,14.4,Cetus,1.27,25.60575,-16.30042,Autumn
IC0150,IC,,,IC 150,,IC 150,G,14.86,Pisces,0.88,25.73967,4.20017,Autumn
IC0151,IC,,,IC 151,,IC 151,Other,,Pisces,,25.98946,13.20261,Autumn
IC0152,IC,,,IC 152,,IC 152,Other,,Pisces,,26.03079,13.03586,Autumn
IC0153,IC,,,IC 153,,IC 153,Other,,Pisces,,26.15087,12.62894,Autumn
IC0154,IC,,,IC 154,,IC 154,G,14.83,Pisces,1.19,26.31779,10.64919,Autumn
IC0155,IC,,,IC 155,,IC 155,Other,,Cassiopeia,,26.88471,60.61083,Autumn
IC0156,IC,,,IC 156,,IC 156,G,14.92,Pisces,1.51,26.37171,10.55272,Autumn
IC0157,IC,,,IC 157,,IC 157,Other,,Pisces,,26.42667,12.87333,Autumn
IC0158,IC,,,IC 158,,IC 158,G,15.88,Cetus,0.70,26.47300,-6.93569,Autumn
IC0159,IC,,,IC 159,,IC 159,G,14.18,Cetus,1.35,26.60438,-8.63661,Autumn
IC0160,IC,,,IC 160,,IC 160,G,14.88,Cetus,1.28,26.62317,-13.24772,Autumn
IC0161,IC,,,IC 161,,IC 161,G,14.27,Pisces,0.90,27.18225,10.50789,Autumn
IC0162,IC,,,IC 162,,IC 162,G,14.46,Pisces,1.32,27.22263,10.52161,Autumn
IC0163,IC,,,IC 163,,IC 163,G,13.26,Aries,1.62,27.31246,20.71131,Autumn
IC0164,IC,,,IC 164,,IC 164,G,14.04,Cetus,1.58,27.28504,-3.90439,Autumn
IC0166,IC,,,IC 166,,IC 166,OCl,11.7,Cassiopeia,7.50,28.09925,61.85261,Autumn
IC0167,IC,,,IC 167,,IC 167,G,13.26,Aries,1.60,27.78567,21.91281,Autumn
IC0168,IC,,,IC 168,,IC 168,G,14.85,Cetus,1.12,27.61513,-8.52294,Autumn
IC0169,IC,,,IC 169,,IC 169,G,15.79,Cetus,0.74,27.66400,-12.67961,Autumn
IC0170,IC,,,IC 170,,IC 170,G,15.34,Cetus,0.78,27.98967,-8.51761,Autumn
IC0171,IC,,,IC 171,,IC 171,G,13.69,Triangulum,2.26,28.79254,35.28189,Autumn
IC0172,IC,,,IC 172,,IC 172,G,14.74,Cetus,0.48,28.72596,0.81122,Autumn
IC0173,IC,,,IC 173,,IC 173,G,14.09,Cetus,0.92,28.98813,1.28517,Autumn
IC0174,IC,,,IC 174,,IC 174,G,14.52,Pisces,1.49,29.06700,3.76186,Autumn
IC0175,IC,,,IC 175,,IC 175,G,15.7,Cetus,0.52,29.07858,1.33242,Autumn
IC0176,IC,,,IC 176,,IC 176,G,14.9,Cetus,1.78,29.22250,-2.01897,Autumn
IC0177,IC,,,IC 177,,IC 177,G,15.47,Cetus,0.51,29.25242,-0.08986,Autumn
IC0178,IC,,,IC 178,,IC 178,G,13.28,Andromeda,0.94,29.72863,36.67469,Autumn
IC0179,IC,,,IC 179,,IC 179,G,12.56,Andromeda,1.12,30.04792,38.02133,Autumn
IC0180,IC,,,IC 180,,IC 180,G,15.3,Aries,0.83,30.00171,23.60433,Autumn
IC0181,IC,,,IC 181,,IC 181,G,15.85,Aries,0.57,30.00971,23.65864,Autumn
IC0182,IC,,,IC 182,,IC 182,G,14.54,Pisces,1.06,29.96588,7.41183,Autumn
IC0183,IC,,,IC 183,,IC 183,G,14.89,Cetus,1.19,29.89188,-5.34714,Autumn
IC0184,IC,,,IC 184,,IC 184,G,13.89,Cetus,1.12,29.96346,-6.84039,Autumn
IC0185,IC,,,IC 185,,IC 185,G,15.72,Cetus,0.79,30.02517,-1.52833,Autumn
IC0186,IC,,,IC 186,,IC 186,GTrpl,,Cetus,1.10,30.10208,-1.55172,Autumn
IC0186A,IC,,,IC 186A,,IC 186A,G,14.87,Cetus,1.21,30.10000,-1.55286,Autumn
IC0186B,IC,,,IC 186B,,IC 186B,G,15.8,Cetus,0.69,30.10604,-1.54981,Autumn
IC0186 NED03,IC,,,IC0186 NED03,,IC0186 NED03,G,,Cetus,0.25,30.10583,-1.55083,Autumn
IC0187,IC,,,IC 187,,IC 187,G,13.79,Triangulum,2.23,30.37817,26.48097,Autumn
IC0188,IC,,,IC 188,,IC 188,G,14.4,Triangulum,0.54,30.44375,26.54689,Autumn
IC0189,IC,,,IC 189,,IC 189,G,14.85,Aries,0.78,30.47046,23.55150,Autumn
IC0190,IC,,,IC 190,,IC 190,G,15.03,Aries,0.25,30.53033,23.54983,Autumn
IC0192,IC,,,IC 192,,IC 192,G,14.75,Aries,0.95,30.63496,16.01417,Autumn
IC0193,IC,,,IC 193,,IC 193,G,14.62,Aries,1.36,30.62908,11.09308,Autumn
IC0194,IC,,,IC 194,,IC 194,G,15.18,Pisces,1.85,30.77175,2.61425,Autumn
IC0195,IC,,,IC 195,,IC 195,G,13.15,Aries,1.46,30.93587,14.70928,Autumn
IC0196,IC,,,IC 196,,IC 196,G,14.11,Aries,2.47,30.95750,14.73914,Autumn
IC0197,IC,,,IC 197,,IC 197,G,14.25,Pisces,1.01,31.02054,2.78683,Autumn
IC0198,IC,,,IC 198,,IC 198,G,14.81,Pisces,1.01,31.51300,9.29556,Autumn
IC0199,IC,,,IC 199,,"IC 199,IC 1778",G,15.33,Pisces,1.28,31.58083,9.22742,Autumn
IC0200,IC,,,IC 200,,IC 200,G,12.82,Triangulum,1.38,31.36100,31.17533,Autumn
IC0201,IC,,,IC 201,,IC 201,G,16.77,Cetus,0.54,31.81371,9.11506,Autumn
IC0202,IC,,,IC 202,,IC 202,G,15.22,Cetus,1.35,31.86942,9.16831,Autumn
IC0203,IC,,,IC 203,,IC 203,G,16.9,Cetus,0.60,31.87354,9.12264,Autumn
IC0204,IC,,,IC 204,,IC 204,G,15.82,Cetus,0.55,31.86283,-1.43019,Autumn
IC0205,IC,,,IC 205,,IC 205,G,14.76,Cetus,0.92,31.86429,-2.09128,Autumn
IC0206,IC,,,IC 206,,IC 206,G,14.34,Cetus,1.22,32.37783,-6.96839,Autumn
IC0207,IC,,,IC 207,,IC 207,G,14.53,Cetus,1.81,32.41396,-6.92219,Autumn
IC0208,IC,,,IC 208,,IC 208,G,14.73,Cetus,1.32,32.11558,6.39492,Autumn
IC0209,IC,,,IC 209,,IC 209,G,13.8,Cetus,1.51,32.24462,-7.05892,Autumn
IC0210,IC,,,IC 210,,IC 210,G,13.82,Cetus,2.35,32.36783,-9.68033,Autumn
IC0211,IC,,,IC 211,,IC 211,G,14.07,Cetus,1.66,32.78333,3.85250,Autumn
IC0212,IC,,,IC 212,,IC 212,G,15.75,Aries,0.79,33.40942,16.59394,Autumn
IC0213,IC,,,IC 213,,IC 213,G,13.2,Aries,1.43,33.51783,16.45589,Autumn
IC0214,IC,,,IC 214,,IC 214,G,14.16,Cetus,0.58,33.52329,5.17325,Autumn
IC0215,IC,,,IC 215,,IC 215,G,15.62,Cetus,0.84,33.53942,-6.80633,Autumn
IC0216,IC,,,IC 216,,IC 216,G,15.87,Cetus,0.50,33.98133,-2.01511,Autumn
IC0217,IC,,,IC 217,,"IC 217,IC 1787",G,15.08,Cetus,2.00,34.04350,-11.92672,Autumn
IC0218,IC,,,IC 218,,IC 218,G,15.63,Cetus,0.91,34.28021,1.28233,Autumn
IC0219,IC,,,IC 219,,IC 219,G,14.44,Cetus,1.56,34.66179,-6.90333,Autumn
IC0220,IC,,,IC 220,,IC 220,G,15.08,Cetus,0.67,34.79887,-12.78164,Autumn
IC0221,IC,,,IC 221,,IC 221,G,13.81,Triangulum,1.54,35.67042,28.25697,Autumn
IC0222,IC,,,IC 222,,IC 222,G,15.14,Aries,0.84,35.69937,11.63833,Autumn
IC0223,IC,,,IC 223,,IC 223,G,14.09,Cetus,1.15,35.50458,-20.74592,Autumn
IC0224,IC,,,IC 224,,IC 224,G,15,Cetus,0.86,36.18808,-12.56447,Autumn
IC0225,IC,,,IC 225,,IC 225,G,14.83,Cetus,1.01,36.61788,1.16053,Autumn
IC0226,IC,,,IC 226,,IC 226,G,16,Triangulum,0.81,36.94138,28.20883,Autumn
IC0227,IC,,,IC 227,,IC 227,G,15.39,Triangulum,2.01,37.01504,28.17533,Autumn
IC0229,IC,,,IC 229,,IC 229,Other,,Cetus,,36.84204,-23.81300,Autumn
IC0230,IC,,,IC 230,,IC 230,G,15.54,Cetus,0.64,37.19704,-10.83136,Autumn
IC0231,IC,,,IC 231,,IC 231,G,15.14,Cetus,0.74,37.48496,1.17908,Autumn
IC0232,IC,,,IC 232,,IC 232,G,14.3,Cetus,1.10,37.79842,1.26564,Autumn
IC0233,IC,,,IC 233,,IC 233,G,15.53,Cetus,0.33,37.91958,2.80992,Autumn
IC0234,IC,,,IC 234,,IC 234,G,15.22,Cetus,0.69,37.90717,-0.14025,Autumn
IC0235,IC,,,IC 235,,IC 235,G,14.35,Aries,0.39,38.21162,20.64125,Autumn
IC0236,IC,,,IC 236,,IC 236,G,15.97,Cetus,0.74,38.23254,-0.13125,Autumn
IC0237,IC,,,IC 237,,IC 237,G,14.71,Cetus,0.54,38.38154,1.13989,Autumn
IC0238,IC,,,IC 238,,IC 238,G,14.02,Aries,1.38,38.84450,12.83772,Autumn
IC0239,IC,,,IC 239,,IC 239,G,11.2,Andromeda,4.25,39.11617,38.96992,Autumn
IC0240,IC,,,IC 240,,IC 240,Other,,Perseus,,39.74404,41.71942,Autumn
IC0241,IC,,,IC 241,,IC 241,G,14.48,Cetus,0.90,39.47708,2.32803,Autumn
IC0242,IC,,,IC 242,,IC 242,**,,Cetus,,39.59971,-6.93394,Autumn
IC0243,IC,,,IC 243,,IC 243,G,15.46,Cetus,1.22,39.63400,-6.90214,Autumn
IC0244,IC,,,IC 244,,IC 244,G,15.26,Cetus,0.70,39.85304,2.72881,Autumn
IC0245,IC,,,IC 245,,IC 245,G,15,Cetus,1.11,39.72767,-14.30556,Autumn
IC0246,IC,,,IC 246,,IC 246,G,15.39,Cetus,0.69,40.11917,2.47864,Autumn
IC0247,IC,,,IC 247,,IC 247,G,14.74,Cetus,0.88,40.03658,-11.73378,Autumn
IC0248,IC,,,IC 248,,IC 248,G,14.35,Aries,0.99,40.35763,17.81222,Autumn
IC0250,IC,,,IC 250,,IC 250,G,15.05,Cetus,0.91,40.22612,-13.31356,Autumn
IC0251,IC,,,IC 251,,IC 251,G,15,Cetus,0.84,40.30771,-14.95783,Autumn
IC0252,IC,,,IC 252,,IC 252,G,15.35,Cetus,1.01,40.43804,-14.84825,Autumn
IC0253,IC,,,IC 253,,IC 253,G,14.87,Cetus,0.95,40.52396,-15.04683,Autumn
IC0254,IC,,,IC 254,,IC 254,G,14.91,Cetus,0.26,40.52075,-15.10664,Autumn
IC0255,IC,,,IC 255,,IC 255,G,15.68,Aries,0.59,41.76337,16.28803,Autumn
IC0256,IC,,,IC 256,,IC 256,G,14.31,Perseus,0.46,42.41792,46.95467,Autumn
IC0257,IC,,,IC 257,,IC 257,G,12.68,Perseus,1.93,42.43933,46.97619,Autumn
IC0258,IC,,,IC 258,,IC 258,G,15.52,Perseus,1.48,42.44208,41.05167,Autumn
IC0259,IC,,,IC 259,,IC 259,G,15.38,Perseus,0.69,42.42033,41.05511,Autumn
IC0260,IC,,,IC 260,,IC 260,G,15.12,Perseus,1.53,42.75367,46.95478,Autumn
IC0262,IC,,,IC 262,,IC 262,G,14.69,Perseus,2.10,42.93029,42.82828,Autumn
IC0263,IC,,,IC 263,,IC 263,G,14.72,Cetus,0.65,42.41650,-0.06986,Autumn
IC0264,IC,,,IC 264,,IC 264,G,16.88,Cetus,0.50,42.19842,-0.10919,Autumn
IC0265,IC,,,IC 265,,IC 265,G,15.49,Perseus,0.71,43.68325,41.65533,Autumn
IC0266,IC,,,IC 266,,IC 266,G,15.65,Perseus,0.74,43.77013,42.26233,Autumn
IC0267,IC,,,IC 267,,IC 267,G,13.09,Aries,1.86,43.45938,12.84922,Autumn
IC0268,IC,,,IC 268,,IC 268,G,15.31,Eridanus,0.97,43.86229,-14.10300,Autumn
IC0269,IC,,,IC 269,,IC 269,G,15.34,Eridanus,1.19,43.86037,-14.06681,Winter
IC0270,IC,,,IC 270,,IC 270,G,14.14,Eridanus,1.80,43.93412,-14.20789,Autumn
IC0271,IC,,,IC 271,,IC 271,G,14.7,Eridanus,1.06,43.99771,-12.00786,Autumn
IC0272,IC,,,IC 272,,IC 272,G,14.86,Eridanus,0.96,44.02683,-14.18664,Winter
IC0273,IC,,,IC 273,,IC 273,G,14.32,Cetus,1.49,44.29492,2.77506,Autumn
IC0274,IC,,,IC 274,,IC 274,Other,,Perseus,,45.02179,44.21317,Autumn
IC0275,IC,,,IC 275,,IC 275,GTrpl,,Perseus,1.00,45.23875,44.34833,Autumn
IC0275 NED01,IC,,,IC0275 NED01,,IC0275 NED01,G,,Perseus,0.32,45.23279,44.34631,Autumn
IC0275 NED02,IC,,,IC0275 NED02,,IC0275 NED02,G,14.44,Perseus,1.38,45.23292,44.35036,Autumn
IC0275 NED03,IC,,,IC0275 NED03,,IC0275 NED03,G,16.56,Perseus,0.30,45.24446,44.35017,Autumn
IC0276,IC,,,IC 276,,IC 276,G,13.97,Eridanus,1.67,44.67108,-15.70311,Autumn
IC0277,IC,,,IC 277,,IC 277,G,13.12,Cetus,1.00,44.96083,2.77136,Autumn
IC0278,IC,,,IC 278,,IC 278,G,14.69,Perseus,2.17,45.37683,37.76600,Autumn
IC0279,IC,,,IC 279,,IC 279,G,15.19,Aries,0.54,45.30087,16.20922,Autumn
